coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
1,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04,1.88E-04
2,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05,-8.56E-05
3,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579,-0.0003579
4,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105,-0.00063105
5,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518,-0.00090518
6,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801,-0.0011801
7,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557,-0.0014557
8,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317,-0.0017317
9,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074,-0.0020074
10,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824,-0.0022824
11,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571,-0.0025571
12,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307,-0.0028307
13,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027,-0.0031027
14,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714,-0.0033714
15,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335,-0.0036335
16,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939,-0.003939
17,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549,-0.004549
18,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463,-0.0051463
19,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668,-0.005668
20,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344,-0.0061344
21,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716,-0.0065716
22,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949,-0.0069949
23,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078
24,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124
